id,product_category_id,series,product_name,in_game_price_gcoin,in_game_price_usd,created_at,updated_at
PRD00001,PDC00001,G-Coin,"11,200G×5單",,499.95,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00002,PDC00001,G-Coin,11200 G-Coin,,99.99,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00003,PDC00001,G-Coin,5500 G-Coin,,49.99,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00004,PDC00001,G-Coin,2700 G-Coin,,24.99,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00005,PDC00001,G-Coin,1050 G-Coin,,9.99,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00006,PDC00001,G-Coin,510 G-Coin,,4.99,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00007,PDC00001,G-Coin,100 G-Coin,,0.99,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00008,PDC00003,PIGFF的豬豬戰術小隊,終極套組,2300.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00009,PDC00003,PIGFF的豬豬戰術小隊,戰術突擊套裝,700.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00010,PDC00003,PIGFF的豬豬戰術小隊,戰術女僕套裝,700.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00011,PDC00003,PIGFF的豬豬戰術小隊,後背包套組,800.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00012,PDC00003,PIGFF的豬豬戰術小隊,終極套組,1990.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00013,PDC00003,蜂勇無懼,終極套組,2900.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00014,PDC00003,蜂勇無懼,蜂狂套裝,1140.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00015,PDC00003,蜂勇無懼,蜜刺甜心套裝,1390.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00016,PDC00003,蜂勇無懼,裝備套組,1080.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00017,PDC00003,蜂勇無懼,武器套組,1600.00,,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00018,PDC00002,生存者通行證:親吻太陽,豪華套組,,9.99,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00019,PDC00002,生存者通行證:親吻太陽,基本套組,,4.99,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00
PRD00020,PDC00004,,暱稱變更,,990.00,2025-08-11 17:48:27.362472+00,2025-08-11 17:48:27.362472+00